country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Paraguay,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,20.4,,,,,,,,,,,,15,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,47.9,,,,,,,,,,
Qatar,,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,23.1,,,,,,23.8,,,,,39.2,,,,,,,,,,
Romania,,,,,,15.3,,,,,13.9,,,,,11.7,,,,,13,,,,,11,,,,,,,16.4,,,,,20.2,,,,,,,,,,16.2,15.3,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,,20.2,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,,,,,,,,,,,,,,9,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4.41,,,,,,,,,,,,,
Singapore,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,7.03,,,,,,,,,,,,,50.6,,,,,52.3,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,,,27.5,,,,,22.4,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,2.96,,,,,,,,,,,,,0.304,,,0.455,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,6.09,,,,,,,,,,,,,4.48,,,,,,8.01,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,38,,,,,52.1,,,,,46,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,17.9,,,,,17.4,14.2,,
Sweden,,,,,,24.1,,,,,25.1,,,,,24.5,,,,,,,,,,,,34.2,,,,,38.8,,,,,38.8,,,,,38,,,37.9,,,,,
Eswatini,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,83.2,,,,,,,,,,,,,,,,65.7,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,8.44,,,8.8,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,10.4,,,11.8,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,52.7,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,,,,,3.68,,,,,,5.63,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,2.4,,,,2.7,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,63.1,,,,,62,,,,,,62,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,,,,11,,,,,,12.8,,,,,,,,,,15,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,15.2,,,15.5,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,
Uganda,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,,,,,,51.5,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,,,18.1,,,,,22,,,,,22,,,,,
Uruguay,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,11.4,,,,,11.6,,,,,12.8,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,,,,,,,5.7,,,,7.32,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
Venezuela,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,22.6,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,3.49,,,,,3.87,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,,,,,,,,,,8,,,,,7.43,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,24,,,,,30.5,,,,,,,,,,,,,27,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,15.8,,,,,,,,18.4,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,14,,,,,11.9,,,,,,,,
